"","name","liaison","ownership_structure","capacity","independent_booking","events_per_month","years_operating","funding_source","interdisciplinarity","event_promotion","purpose","community_focus","creativity","experimentation","threats_neighbors","threats_cost","threats_licensing","description","contact_name","contact_email","contact_telephone","address","street","genre","venueType_club","venueType_disco","venueType_openAir","venueType_concertHall","venueType_theater","venueType_cinema","venueType_musicBar","venueType_gallery","venueType_restaurant","venueType_warehouse","venueType_arena","venueType_shop","venueType_studio","address_admin","APN","url","zip","county","city","y","x"
"122","Kittenish","Marcus Dowling","3. Information unavailable","","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Kittenish is a clothing store founded in 2014 by platinum singer-songwriter, television personality and best-selling author, Jessie James Decker.","Cara Harris","","(615) 764-9630","304 11th Ave S.
Nashville, TN 37203","11th Ave S","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"320 11TH AVE S","093130B00200CO","https://kittenish.com/",37203,"Davidson","Nashville",36.1534197356406,-86.783131034937
"123","Kittenish","Marcus Dowling","3. Information unavailable","","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Kittenish is a clothing store founded in 2014 by platinum singer-songwriter, television personality and best-selling author, Jessie James Decker.","Cara Harris","","(615) 764-9630","304 11th Ave S.
Nashville, TN 37203","11th Ave S","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"320 11TH AVE S","093130B00200CO","https://kittenish.com/",37203,"Davidson","Nashville",36.1533202534805,-86.7832350841648
"124","L27 Rooftop Lounge","","2. No","","4. Information unavailable","1. 1-4 Events per month","","","1.Not At All Likely","2. Not too likely","2. Not too likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Twenty-seven floors high above Nashville’s bustling downtown,
L27 is the city’s ideal retreat to unwind, sip, and, savor. Featuring live music performances and DJs. 21+ only. ","Michael Pisano","michael.pisano@westinnashville.com ","(629) 800-5070","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"807 CLARK PL","09310003200","https://www.l27nashville.com/",37203,"Davidson","Nashville",36.1552214736199,-86.7804527666213
"125","Lab Canna","Adrianna Flax","3. Information unavailable","","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Creators of TenneCBD™, Heighten™ and LabCanna East, voted Nashville's best CBD store.","Joshua Camp","support@labcanna.com","(844) 424-4367","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1106 GALLATIN AVE","08301008700","https://labcanna.com/",37206,"Davidson","Nashville",36.1898984078147,-86.7459121027437
"126","La Costa Mexican Seafood","","3. Information unavailable","","4. Information unavailable","2. 5-10 Events per month","","4. Mixed/all of the above","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"La Costa Mexican Seafood is a Mexican Seafood Grill and bar with karoke nights and live music.","","","(615) 647-7077","","","Latin",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"5332 CANE RIDGE RD","16300027400","No Website",NA,"","Antioch",36.0423194580705,-86.6609680921253
"127","La Terraza Mexican Restaurant","","3. Information unavailable","","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"La Terraza Nolensville is a fun family place. We have Marichi Music & Karaoke every friday.","","achavez@balerofashion.com","(615) 835-0106","","","Mariachi",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"5731 NOLENSVILLE PIKE","16100014000","https://laterrazamexicanrestaurant.com/",37211,"","Nashville",36.0480327574934,-86.7147651897149
"128","Larry's Grand Ole Garage","","1. Yes","200","4. Information unavailable","","4. 20+ Years","4. Mixed/all of the above","2. Not too likely","4. Very Likely","4. Very Likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"A live music venue in an old garage and transmission shop featuring blue grass music, offering free admission","Rita Jones","rita.jones@larrysgrandolegarage.com","(615) 856-0642","","","Blue Grass",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"549 E MAPLE ST","04314003600","http://larrysgrandolegarage.com/",37115,"Davidson","Nashville",36.2622089409286,-86.700816801238
"129","Las Cazuelas","","3. Information unavailable","","4. Information unavailable","3. 11-20 Events per month","3. 11-20 Years","4. Mixed/all of the above","1.Not At All Likely","2. Not too likely","2. Not too likely","2. Not too likely",NA,"1.Not At All Likely",0,0,0,"Homestyle fare & cocktails served in a laid-back hangout with flat-screen TVs & live Latin music.","","lascazuelas.nash@gmail.com","(615) 833-3507","4114 Nolensville Pk, Nashville, TN 37211","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"4112 NOLENSVILLE PIKE","14700000800","https://www.facebook.com/lascazuelas.rest/",NA,"","",36.0785052086935,-86.7251204044112
"130","Las Fogatas","","3. Information unavailable","","4. Information unavailable","3. 11-20 Events per month","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Homey Mexican restaurant serving up large portions of familiar dishes in a relaxed setting.","","","(615) 331-6281","5560 Nolensville Pk, Nashville, TN 37211","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"5560 NOLENSVILLE PIKE","16100030500","https://fogatasauthenticmexicanfood.com/",NA,"","",36.0469803005536,-86.710385328246
"131","Layla's Honky Tonk","","1. Yes","85","4. Information unavailable","3. 11-20 Events per month","4. 20+ Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Vintage license plates line the ceiling of this lively, intimate bar hosting live bluegrass bands.","","","(615) 726-2799","","","Country",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"418 BROADWAY","09306307500","http://www.laylasnashville.com/",37203,"Davidson","Nashville",36.1609745492543,-86.7781358603682
"132","Legends Corner","","3. Information unavailable","175","2. Sometimes","4. 20+ Events per month","4. 20+ Years","3. Tips","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Classic country albums cover the walls of this classic honky-tonk featuring dancing & cold beer.","","","(615) 248-6334","","","Country",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"424 BROADWAY","09306307200","https://www.legendscorner.com/",37203,"Davidson","Nashville",36.160846279316,-86.7784320509058
"133","Lipscomb University Department of Theatre","","2. No","","4. Information unavailable","","","","3. Somewhat likely","1.Not At All Likely","1.Not At All Likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"The Lipscomb University Department of Theatre is a performing arts program within Lipscomb University in Nashville, Tennessee..
The theatre department at Lipscomb University produces a variety of plays and musicals each year, ranging from classic works to contemporary productions. The productions are directed and performed by students and faculty, as well as guest artists and professionals from the Nashville theatre community.
","Beki Baker","beki.baker@lipscomb.edu","(615) 966-5728","","","No Genre Specifed",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,"1 UNIVERSITY PARK DR","11716016300","https://www.lipscomb.edu/academics/programs/theatre",37204,"Davidson","Nashville",36.1059061336745,-86.7985257445467
"134","Little Harpeth Brewing","","3. Information unavailable","600","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Energetic brewery offering pints & flights of its own craft beers, plus live music events.","","","(615) 942-7066","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1 TERMINAL DR","10700005000","https://www.littleharpeth.com/",37214,"Davidson","Nashville",36.1272169186737,-86.6802175210344
"135","Live Oak","Marcus Dowling","3. Information unavailable","0","4. Information unavailable","4. 20+ Events per month","","4. Mixed/all of the above","3. Somewhat likely","2. Not too likely","3. Somewhat likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"Live music venue and bar in the Gulch featuring live bands and writers rounds.","","","(615) 866-9716","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1530 DEMONBREUN ST","09313001000","https://www.liveoaknashville.com/",37203,"Davidson","Nashville",36.1529227280554,-86.7908547350998
"136","Lonnie's western Room","","1. Yes","","4. Information unavailable","","4. 20+ Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"Lonnie's Western Room is a country music bar located in Nashville, Tennessee. It is a popular spot for locals and tourists who are looking for a classic honky-tonk experience in Music City.","","","(615) 613-7500","","","Country",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"300 CHURCH ST","09302316800","https://lonnieswesternroom.com/",37201,"Davidson","Nashville",36.1642723493316,-86.7781957193846
"137","Los Arcos","","3. Information unavailable","","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Family-friendly, casual Mexican restaurant offering a full bar & outdoor patio seating.","José Gutierrez, Martin Romo and José Miranda","","
(615) 837-3800","3798 Nolensville Pk, Nashville, TN 37211","Nolensville Pk","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"3798 NOLENSVILLE PIKE","13300011600","https://losarcosgrill.com/",37211,"Davidson","Nashville",36.0883009416607,-86.7310457451444
"138","Loser Most Wanted Bar & Grill (Downtown)","Marcus Dowling","3. Information unavailable","213","2. Sometimes","2. 5-10 Events per month","","4. Mixed/all of the above","1.Not At All Likely","2. Not too likely","2. Not too likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Losers Downtown brings a country dive bar experience with wonderful artists and bands performing all day, every day.","","","(615) 736-5050","","","Country",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"111 4TH AVE S","09306400800","https://www.coldbeerentertainment.com/",37203,"Davidson","Nashville",36.160407093423,-86.77706587792
"139","Loser Most Wanted Bar & Grill (Midtown)","Marcus Dowling","3. Information unavailable","213","4. Information unavailable","2. 5-10 Events per month","","4. Mixed/all of the above","1.Not At All Likely","2. Not too likely","2. Not too likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Losers Downtown brings a country dive bar experience with wonderful artists and bands performing all day, every day.","","","(615) 736-5050","","","Country",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Lou|Na","","2. No","","4. Information unavailable","","","","1.Not At All Likely","2. Not too likely","2. Not too likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Lou/na ascends as the newest and most glamorous rooftop bar and lounge accompanied by live music and breathtaking scenery overlooking downtown Nashville.","","","(615) 622-4063","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1000 BROADWAY","09309034300","https://lounanashville.com/",37203,"Davidson","Nashville",36.1582885457808,-86.7849326038148
"141","Loveless Cafe","","3. Information unavailable","500","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","2. Not too likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Southern cafe serving food for over 65 years with a country vibe with eclectic on-site shops, and two event spaces for live music and private events","","","(615) 646-9700","","","Country",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"8400 HIGHWAY 100","16900001400","https://www.lovelesscafe.com/",37221,"Davidson","Nashville",36.0357858473935,-86.9721810624482
"142","Lovenoise","Eric Holt","","","","","","","","","","",NA,"",NA,NA,NA,"Provides weekly performance platform for local urban artists. Every Sunday night Music City's best spoken word poets, bands, MCs and DJs gathered at the Bar Car for an “out of town” urban experience in the heart of Nashville.","Eric Holt JD","","(615) 696-9031","","","Urban",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Lucky Bastard Saloon","","1. Yes","","4. Information unavailable","3. 11-20 Events per month","","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Lucky Bastard Saloon is a bar and restaurant located in Nashville, Tennessee.
The establishment has a lively and casual atmosphere, with a focus on Southern-style cuisine, live music, and a variety of drinks.
","","contact_us_70003@krgops.com","(615) 254-5452","","","Country",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"408 BROADWAY","09306308000","https://www.luckybastardsaloon.com/",37203,"Davidson","Nashville",36.1611554006104,-86.7777485481959
"144","Luke's 32 Bridge Food & Drink","Marcus Dowling","1. Yes","Null","4. Information unavailable","4. 20+ Events per month","","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"2. Not too likely",0,0,0,"Spacious, late night destination offering 4 band stages, cocktails, American eats & a rooftop patio.","","","(740) 341-6205","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"301 BROADWAY","09306402700","https://lukes32bridge.com/",37201,"Davidson","Nashville",36.1613000651127,-86.7759788176766
"145","Marathon Music Works","Eric Holt","2. No","1,500","2. Sometimes","3. 11-20 Events per month","","1. Ticket sales","1.Not At All Likely","2. Not too likely","2. Not too likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"A turn of the century auto factory converted into a unique music venue hosting concerts and private events","Ryan Henry","ryan@marathon.live","(615) 239-5584  Ext. 100 
","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1404 CLINTON ST","09208001800","https://marathon.live/",37203,"Davidson","Nashville",36.1639026132996,-86.7978140374924
"146","Mariscos Sayulita Nayarit","","1. Yes","","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Authentic Mexican Seafood Restaurant
Nayarit-Style Seafood Restaurant
Fresh Seafood, Live Music","","sayulitatn1@gmail.com","(615) 617-3451","","","Latin",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Marisqueria 7 Mares","","1. Yes","","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Mexican Seafood Bar & Grill","","7mares.nashville@gmail.com","(615) 315-0207","","","Latin",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"931 RICHARDS RD","14800029500","https://7maresnashvilletn.com/",37013,"Davidson","Antioch",36.0695427486106,-86.6827418025908
"148","Martin's BBQ Joint - SOBRO","","2. No","","4. Information unavailable","2. 5-10 Events per month","3. 11-20 Years","3. Tips","1.Not At All Likely","1.Not At All Likely","2. Not too likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Martin's Bar-B-Que Joint is a barbecue restaurant chain with multiple locations in Tennessee","Brett Brennan","","(615) 288-0880","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"410 4TH AVE S","09310043700","https://www.martinsbbqjoint.com/downtown-nashville",37201,"Davidson","Nashville",36.1567361088037,-86.7739683998767
"149","Maxwell Lounge at Millenium Maxwell House Nashville","","2. No","","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"A lively lounge bar in Nashville, Maxwell's Lounge is the spot for live entertainment, great food and a variety of cocktails.","Pat Miller","nashville@millenniumhotels.com","(615) 259-4343","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"2025 ROSA L PARKS BLVD","08104022200","https://www.millenniumhotels.com/en/nashville/millennium-maxwell-house-hotel-nashville/maxwells-lounge/",37228,"Davidson","Nashville",36.1889854637469,-86.7995775007282
"150","McNamara's Irish Pub","","1. Yes","100","4. Information unavailable","4. 20+ Events per month","3. 11-20 Years","4. Mixed/all of the above","2. Not too likely","4. Very Likely","4. Very Likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"Classic Gaelic tavern food with a variety of whiskeys & beers and live music.","","","(615) 885-7262","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"2740 OLD LEBANON PIKE","09601001600","https://www.mcnamarasirishpub.com/",37203,"Davidson","Nashville",36.1689010647499,-86.6642587516033
"151","Mellow Mushroom 
(Broadway)","","2. No","","4. Information unavailable","","3. 11-20 Years","4. Mixed/all of the above","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Mellow Mushroom is a pizza restaurant chain with locations in several states, including Tennessee. Its known for its unique and fun atmosphere, with a funky, hippie-inspired decor that features colorful murals, vintage posters, and other eclectic accents.","","
web@mellowmushroom.com","(615) 454-4990","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"423 BROADWAY","09306310700","https://mellowmushroom.com/location/tn-nashville-423-broadway-37203/?utm_source=gmb&utm_medium=organic&utm_campaign=Nashville-TN&utm_content=222",37203,"Davidson","Nashville",36.1604024613817,-86.7778847657755
